Card_Name,Bank_Name,Annual_Fee,Joining_Fee,Reward_Rate,Lounge_Access,Forex_Markup,Minimum_Income_LPA,Reward_Value_Per_Point_INR,Spend_Based_Fee_Waiver,Milestone_Rewards,Third_Party_Tieups,Reward_Description,Bank,Reward_Description_Clean,Annual_Fee_INR,Joining_Fee_INR,Min_Income_LPA,Spend_Based_Fee_Waiver_INR,Reward_Points,Reward_Spend_Required,Reward_Rate_Per_Rupee,Reward_Cashback_Percent,Milestone_Reward_Value,Lounge_Domestic,Lounge_International,International_Usage,Reward_Type,is_amazon_corp_partner,is_bookmyshow_corp_partner,is_cleartrip_corp_partner,is_flipkart_corp_partner,is_makemytrip_corp_partner,is_reliance_corp_partner,is_swiggy_corp_partner,is_tata_corp_partner,is_zomato_corp_partner,Merchant_Partner_Count,Milestone_Reward,ERV,Annual_Reward_Value_Estimate,Experiential_Benefits,Net_Fee,Net_Annual_Value,Effective_Reward_Rate_Index,Net_Value_Index,Travel_Benefit_Index,Lifestyle_Benefit_Index,Fee_to_Value_Ratio,Annual_Fee_INR_scaled,Joining_Fee_INR_scaled,Min_Income_LPA_scaled,Reward_Rate_Per_Rupee_scaled,Reward_Value_Per_Point_INR_scaled,ERV_scaled,Annual_Reward_Value_Estimate_scaled,Net_Annual_Value_scaled,Travel_Benefit_Index_scaled,Lifestyle_Benefit_Index_scaled,Effective_Reward_Rate_Index_scaled,Net_Value_Index_scaled,Fee_to_Value_Ratio_scaled,Forex_Markup_scaled,Card_Segment_Cluster,Card_Segment_Hierarchy,Card_Segment
HDFC Regalia Gold Credit Card,HDFC,2500,2500,4.0,12.0,2.0,10.0,0.5,300000,2500,Marriott Swiggy BookMyShow,4 reward points per Rs.150 spent. 12 airport lounge visits. Low 2% forex markup. Milestone benefits at 5L and 8L spend.,HDFC,4 reward points per Rs.150 spent. 12 airport lounge visits. Low 2% forex markup. Milestone benefits at 5L and 8L spend.,2500.0,2500.0,10.0,300000.0,4.0,150.0,0.02666666666666667,400.0,2500.0,12.0,0.0,1,general,0,1,0,0,0,0,1,0,0,2,2500.0,0.013333333333333334,5333.333333333334,19200.0,0.0,27033.333333333336,133.33333333333334,0.06758333333333334,14.0,2,0.09247842170160295,-0.08883776440464998,-0.08223077402200563,0.21761586303978897,-0.46268648581682664,0.2684551037899132,-0.44208564949845675,-0.4417059063449784,-0.5313405708558004,-0.4491105771100027,1.6633558614940314,-0.4420856494984567,-0.5313405708558006,-0.09920751881564338,-0.9171797131934107,3,3,Mid_Tier
HDFC Millennia Credit Card,HDFC,1000,1000,5.0,4.0,3.5,3.5,0.3,100000,1000,Amazon Flipkart Myntra Swiggy Zomato,"5% cashback on Amazon, Flipkart, Myntra, Zomato. 1% on all other spends. Waived on 1L annual spend.",HDFC,"5% cashback on Amazon, Flipkart, Myntra, Zomato. 1% on all other spends. Waived on 1L annual spend.",1000.0,1000.0,3.5,100000.0,5.0,100.0,0.05,5.0,1000.0,4.0,0.0,0,dining,1,0,0,1,0,0,1,0,1,4,1000.0,0.015,6360.0,10400.0,0.0,17760.0,150.0,0.0444,4.0,4,0.05630630630630631,-0.2705246547538158,-0.2637478046280603,-0.38480299790125533,-0.4538481433424296,-0.4204108229162792,-0.4400569280620866,-0.43872187014804337,-0.5391532087596558,-0.462201560696783,3.82465901910411,-0.44005692806208657,-0.5391532087596559,-0.09945243970384149,0.5998851097102851,3,3,Mid_Tier
HDFC MoneyBack+ Credit Card,HDFC,500,500,2.0,0.0,3.5,2.0,0.2,50000,0,Amazon Flipkart,"2 cashpoints per Rs.150. 5X cashpoints on Amazon, Flipkart, Reliance Smart, Swiggy. Fee waived on 50k spend.",HDFC,"2 cashpoints per Rs.150. 5X cashpoints on Amazon, Flipkart, Reliance Smart, Swiggy. Fee waived on 50k spend.",500.0,500.0,2.0,50000.0,,,2.0,200.0,50.0,0.0,0.0,0,dining,1,0,0,1,0,1,1,0,0,4,50.0,0.4,169600.0,4800.0,0.0,174450.0,4000.0,0.436125,0.0,3,0.002866150759529951,-0.3310869515368711,-0.3242534814967452,-0.5238227350414963,0.2847847634464604,-0.7648437862693753,0.028577723739408457,0.03573988516463166,-0.4071443410578128,-0.4674379541314951,2.7440074402990704,0.028577723739408416,-0.4071443410578129,-0.09981428225075713,0.5998851097102851,3,3,Mid_Tier
HDFC Diners Club Black Credit Card,HDFC,10000,10000,5.0,2000.0,2.0,25.0,0.5,500000,10000,Club Marriott Forbes Zomato Amazon,5 reward points per Rs.150. Unlimited airport lounge access worldwide. Golf privileges. Concierge service.,HDFC,5 reward points per Rs.150. Unlimited airport lounge access worldwide. Golf privileges. Concierge service.,10000.0,10000.0,25.0,500000.0,5.0,150.0,0.03333333333333333,500.0,10000.0,2000.0,0.0,1,general,1,0,0,0,0,0,0,0,1,2,10000.0,0.016666666666666666,6666.666666666667,2802400.0,10000.0,2809066.6666666665,166.66666666666666,7.022666666666666,2002.0,2,0.0035599012720713883,0.8195966873411793,0.8253543790082677,1.607813234442199,-0.460161245109856,0.2684551037899132,-0.4380282066257165,-0.4378305346606472,1.8124788831113787,2.1533769599419195,1.6633558614940314,-0.4380282066257165,1.8124788831113787,-0.09980958487572493,-0.9171797131934107,1,0,Premium
HDFC Infinia Credit Card,HDFC,12500,12500,5.0,2004.0,2.0,30.0,1.0,1000000,12500,Marriott ITC Taj AMEX,5 reward points per Rs.150. 1 reward point = Rs 1. Unlimited domestic and international lounge access. Premium travel benefits.,HDFC,5 reward points per Rs.150. 1 reward point = Rs 1. Unlimited domestic and international lounge access. Premium travel benefits.,12500.0,12500.0,30.0,1000000.0,5.0,150.0,0.03333333333333333,500.0,12500.0,2000.0,4.0,1,travel,0,0,0,0,0,0,0,0,0,0,12500.0,0.03333333333333333,14500.0,2809200.0,12500.0,2823700.0,333.3333333333333,7.05925,2010.0,0,0.004426815879873924,1.1224081712564558,1.1278827633516921,2.071212358243002,-0.460161245109856,1.9906199205553938,-0.41774099226201544,-0.41506272601520106,1.824807236956787,2.163849746811344,-0.49794729611604754,-0.4177409922620154,1.8248072369567867,-0.09980371500902195,-0.9171797131934107,1,0,Premium
HDFC TATA Neu Plus Credit Card,HDFC,499,499,2.0,0.0,3.5,2.0,1.0,50000,0,Tata Bigbasket Croma AirAsia,2% NeuCoins on Tata ecosystem. 1% NeuCoins on other spends. 1 NeuCoin = Re 1. Best for Tata brand users.,HDFC,2% NeuCoins on Tata ecosystem. 1% NeuCoins on other spends. 1 NeuCoin = Re 1. Best for Tata brand users.,499.0,499.0,2.0,50000.0,2.0,100.0,0.02,2.0,1.0,0.0,0.0,0,general,0,0,0,0,0,0,0,1,0,1,1.0,0.02,8000.0,1200.0,0.0,9201.0,200.0,0.0230025,0.0,0,0.054233235517878495,-0.33120807613043723,-0.3243744928504826,-0.5238227350414963,-0.46521172652379716,1.9906199205553938,-0.4339707637529763,-0.4339551629763159,-0.5463640320327432,-0.4674379541314951,-0.49794729611604754,-0.4339707637529763,-0.5463640320327433,-0.0994664764371995,0.5998851097102851,0,1,Entry_Level
SBI SimplyCLICK Credit Card,SBI,499,499,2.5,0.0,3.5,2.0,0.25,100000,500,Amazon Cleartrip Lenskart Yatra,"10X rewards on Amazon, Cleartrip, Lenskart, Yatra. 5X on other online spends. Annual fee waived at 1L spend.",SBI,"10X rewards on Amazon, Cleartrip, Lenskart, Yatra. 5X on other online spends. Annual fee waived at 1L spend.",499.0,499.0,2.0,100000.0,,,2.5,250.0,500.0,0.0,0.0,0,travel,1,0,1,0,0,0,0,0,0,2,500.0,0.625,271875.0,2400.0,0.0,274775.0,6250.0,0.6869375,1.0,1,0.0018160312983350013,-0.33120807613043723,-0.3243744928504826,-0.5238227350414963,0.4741778164692528,-0.5926273045928272,0.30245511764937305,0.33300511442586567,-0.3226221019092557,-0.4661288557728171,0.5827042826889919,0.30245511764937305,-0.3226221019092558,-0.09982139259496396,0.5998851097102851,0,1,Entry_Level
SBI SimplySAVE Credit Card,SBI,499,499,1.0,0.0,3.5,2.0,0.25,90000,0,Dining Movies Grocery,"10X reward points on dining, movies, departmental stores, grocery. 1X on all other spends. Great for everyday savings.",SBI,"10X reward points on dining, movies, departmental stores, grocery. 1X on all other spends. Great for everyday savings.",499.0,499.0,2.0,90000.0,,,1.0,100.0,1.0,0.0,0.0,0,dining,0,0,0,0,0,0,0,0,0,0,1.0,0.25,106000.0,0.0,0.0,106001.0,2500.0,0.2650025,0.0,0,0.00470750275940793,-0.33120807613043723,-0.3243744928504826,-0.5238227350414963,-0.09400134259912422,-0.5926273045928272,-0.15400720553390132,-0.149115344177969,-0.464811550103211,-0.4674379541314951,-0.49794729611604754,-0.15400720553390132,-0.46481155010321107,-0.09980181448208043,0.5998851097102851,0,1,Entry_Level
SBI Elite Credit Card,SBI,4999,4999,5.0,12.0,1.99,12.0,0.25,1000000,5000,Trident Sheraton Marriott BookMyShow,"5X rewards on dining, departmental and grocery stores. 2X on other spends. 12 complimentary airport lounge visits. Low forex markup.",SBI,"5X rewards on dining, departmental and grocery stores. 2X on other spends. 12 complimentary airport lounge visits. Low forex markup.",4999.0,4999.0,12.0,1000000.0,,,5.0,500.0,5000.0,12.0,0.0,1,dining,0,1,0,0,0,0,0,0,0,1,5000.0,1.25,530000.0,18000.0,4999.0,548001.0,12500.0,1.3700025,14.0,1,0.009122246127288089,0.21385259491706032,0.22017659896768146,0.40297551256011027,1.4211430815832145,-0.5926273045928272,1.063225656288164,1.083252851439369,-0.09243348178861138,-0.4491105771100027,0.5827042826889919,1.0632256562881635,-0.09243348178861144,-0.09977192231638837,-0.9272934786794353,0,1,Entry_Level
SBI Cashback Credit Card,SBI,999,999,5.0,0.0,3.5,3.0,1.0,200000,0,All online merchants,5% cashback on all online transactions. 1% cashback on offline spends. Best flat-rate cashback card in India.,SBI,5% cashback on all online transactions. 1% cashback on offline spends. Best flat-rate cashback card in India.,999.0,999.0,3.0,200000.0,5.0,100.0,0.05,5.0,1.0,0.0,0.0,0,ecommerce,0,0,0,0,0,0,0,0,0,0,1.0,0.05,20750.0,0.0,0.0,20751.0,500.0,0.0518775,0.0,0,0.04814225820442388,-0.27064577934738193,-0.2638688159817977,-0.43114291028133567,-0.4538481433424296,1.9906199205553938,-0.3974537778983144,-0.39689692124489834,-0.5366333381661513,-0.4674379541314951,-0.49794729611604754,-0.3974537778983143,-0.5366333381661514,-0.09950771835952843,0.5998851097102851,0,1,Entry_Level
