Card_Name,Bank_Name,Annual_Fee,Joining_Fee,Reward_Rate,Lounge_Access,Forex_Markup,Minimum_Income_LPA,Reward_Value_Per_Point_INR,Spend_Based_Fee_Waiver,Milestone_Rewards,Third_Party_Tieups,Reward_Description
HDFC Regalia Gold Credit Card,HDFC,2500,2500,4.0,12,2.0,10.0,0.5,300000,2500,Marriott Swiggy BookMyShow,4 reward points per Rs.150 spent. 12 airport lounge visits. Low 2% forex markup. Milestone benefits at 5L and 8L spend.
HDFC Millennia Credit Card,HDFC,1000,1000,5.0,4,3.5,3.5,0.3,100000,1000,Amazon Flipkart Myntra Swiggy Zomato,"5% cashback on Amazon, Flipkart, Myntra, Zomato. 1% on all other spends. Waived on 1L annual spend."
HDFC MoneyBack+ Credit Card,HDFC,500,500,2.0,0,3.5,2.0,0.2,50000,0,Amazon Flipkart,"2 cashpoints per Rs.150. 5X cashpoints on Amazon, Flipkart, Reliance Smart, Swiggy. Fee waived on 50k spend."
HDFC Diners Club Black Credit Card,HDFC,10000,10000,5.0,2000,2.0,25.0,0.5,500000,10000,Club Marriott Forbes Zomato Amazon,5 reward points per Rs.150. Unlimited airport lounge access worldwide. Golf privileges. Concierge service.
HDFC Infinia Credit Card,HDFC,12500,12500,5.0,2000,2.0,30.0,1.0,1000000,12500,Marriott ITC Taj AMEX,5 reward points per Rs.150. 1 reward point = Rs 1. Unlimited domestic and international lounge access. Premium travel benefits.
HDFC TATA Neu Plus Credit Card,HDFC,499,499,2.0,0,3.5,2.0,1.0,50000,0,Tata Bigbasket Croma AirAsia,2% NeuCoins on Tata ecosystem. 1% NeuCoins on other spends. 1 NeuCoin = Re 1. Best for Tata brand users.
SBI SimplyCLICK Credit Card,SBI,499,499,2.5,0,3.5,2.0,0.25,100000,500,Amazon Cleartrip Lenskart Yatra,"10X rewards on Amazon, Cleartrip, Lenskart, Yatra. 5X on other online spends. Annual fee waived at 1L spend."
SBI SimplySAVE Credit Card,SBI,499,499,1.0,0,3.5,2.0,0.25,90000,0,Dining Movies Grocery,"10X reward points on dining, movies, departmental stores, grocery. 1X on all other spends. Great for everyday savings."
SBI Elite Credit Card,SBI,4999,4999,5.0,12,1.99,12.0,0.25,1000000,5000,Trident Sheraton Marriott BookMyShow,"5X rewards on dining, departmental and grocery stores. 2X on other spends. 12 complimentary airport lounge visits. Low forex markup."
SBI Cashback Credit Card,SBI,999,999,5.0,0,3.5,3.0,1.0,200000,0,All online merchants,5% cashback on all online transactions. 1% cashback on offline spends. Best flat-rate cashback card in India.
SBI BPCL Octane Credit Card,SBI,1499,1499,3.0,0,3.5,2.5,0.25,150000,0,BPCL,"25X rewards on BPCL fuel. 10X on Ola, food delivery. Best card for frequent fuel users. Fuel surcharge waiver."
Axis Bank Magnus Credit Card,Axis,12500,12500,12.0,2000,2.0,18.0,0.2,1500000,25000,MakeMyTrip Marriott Club ITC,"12 Edge Reward points per Rs.200. Unlimited airport lounge access. 10,000 bonus miles on MakeMyTrip. Premium travel card."
Axis Bank Ace Credit Card,Axis,499,499,2.0,4,3.5,2.5,1.0,200000,0,Google Pay Swiggy Zomato Ola,"5% cashback via Google Pay. 4% on Swiggy, Zomato, Ola. 2% on all other spends. Best value entry-level card."
Axis Bank Flipkart Credit Card,Axis,500,500,5.0,4,3.5,2.5,1.0,200000,0,Flipkart Myntra Cleartrip,"5% cashback on Flipkart, Myntra, 2GUD. 4% on preferred merchants. 1.5% on all other. 4 airport lounge visits/year."
Axis Bank Vistara Signature Credit Card,Axis,3000,3000,6.0,8,3.5,8.0,0.5,300000,3000,Vistara Air India,6 Club Vistara points per Rs.200. 8 airport lounge visits. Complimentary Vistara flight ticket on activation. Travel-focused card.
Axis Bank MY Zone Credit Card,Axis,500,500,1.0,0,3.5,1.5,0.2,50000,0,Swiggy Zomato BookMyShow,"20% cashback on Swiggy, Zomato, BookMyShow. 1 EDGE point per Rs.125 on other spends. Best lifestyle entry card."
Amazon Pay ICICI Credit Card,ICICI,0,0,5.0,0,3.5,2.0,1.0,0,0,Amazon Prime,5% cashback on Amazon for Prime members (3% for non-Prime). 2% on Amazon Pay partner merchants. 1% on all other spends. Zero annual fee.
ICICI Sapphiro Credit Card,ICICI,3500,3500,4.0,12,1.5,10.0,0.25,600000,5000,Marriott ITC Taj Amazon,4 reward points per Rs.100. 12 airport lounge visits. Complimentary golf lessons. 1.5% forex markup. Premium lifestyle card.
ICICI Coral Credit Card,ICICI,500,500,2.0,2,3.5,2.5,0.25,125000,0,BookMyShow Dining,2 reward points per Rs.100. 1 complimentary movie ticket/month via BookMyShow. 2 airport lounge visits/quarter. Dining discounts.
ICICI Rubyx Credit Card,ICICI,2000,2000,2.0,8,3.5,6.0,0.25,300000,2000,EazyDiner BookMyShow Lifestyle,2 reward points per Rs.100. 8 airport lounge visits. EazyDiner Prime membership. Movie offers. Golf privileges.
ICICI HPCL Super Saver Credit Card,ICICI,500,500,4.0,0,3.5,2.0,0.25,150000,0,HPCL,"4% cashback on fuel at HPCL stations. 2% cashback on grocery, utilities. 1% on all else. Fuel surcharge waiver up to Rs.100/month."
American Express Platinum Card,Amex,60000,60000,5.0,2000,0.0,50.0,0.5,0,50000,Taj Oberoi Marriott Hilton Delta,Unlimited Centurion and Priority Pass lounge access. 1 MR point per Rs.50. No forex markup. Concierge. Hotel status upgrades.
American Express SmartEarn Credit Card,Amex,495,495,2.0,0,3.5,4.5,0.25,40000,500,Amazon Flipkart Swiggy Uber,"10X MR points on Flipkart. 5X on Amazon, Swiggy, Uber. 1X elsewhere. Fee waived on 40k spend. Best entry-level Amex."
American Express Gold Card,Amex,4500,0,5.0,8,3.5,6.0,0.5,0,5000,Taj Marriott Hilton,5000 MR bonus points on 4 transactions/month. Taj InnerCircle Gold membership. 8 airport lounge visits. Milestone rewards at 6L spend.
Kotak 811 Dream Different Credit Card,Kotak,0,0,1.0,0,3.5,1.5,0.25,0,0,,Lifetime free card. 1% cashback on online spends. No minimum income requirement. Best for beginners with zero credit history.
Kotak Royale Signature Credit Card,Kotak,999,999,2.0,8,3.5,4.0,0.25,150000,0,Taj Hotels EazyDiner,2 reward points per Rs.100. 8 airport lounge visits per year. Dining privileges. Taj InnerCircle membership. Good mid-tier card.
Kotak Zen Signature Credit Card,Kotak,1999,1999,2.0,8,3.5,5.0,0.25,200000,1000,Travel Dining,2 reward points per Rs.100 on regular spend. 10X on travel categories. 8 lounge visits. Annual fee waiver on 2L spend.
Kotak White Reserve Credit Card,Kotak,0,0,6.0,2000,0.0,50.0,1.0,0,0,Taj Marriott Priority Pass,Super premium invite-only card. 6% rewards on international spends. Zero forex markup. Unlimited lounge access worldwide.
Standard Chartered Smart Credit Card,StandardChartered,499,499,2.0,0,3.5,3.0,1.0,144000,0,Online merchants,"2% cashback on online spends up to Rs.1000/month, 1% on offline. Fee waived if spending above Rs.1.44L/year."
Standard Chartered Rewards Credit Card,StandardChartered,1000,1000,4.0,4,3.5,4.0,0.25,150000,0,Travel Dining,4 reward points per Rs.150. 10X on travel and dining. 4 airport lounge visits. Annual fee waiver on 1.5L spend.
Standard Chartered EaseMyTrip Credit Card,StandardChartered,350,350,10.0,4,3.5,2.5,0.25,50000,0,EaseMyTrip,10% off on EaseMyTrip flights and hotels. 3X points on other travel. 4 airport lounge visits. Best budget travel card.
IndusInd Bank Pinnacle Credit Card,IndusInd,25000,25000,6.0,2000,1.8,40.0,1.0,2000000,25000,Taj Ritz Carlton Marriott,Unlimited airport lounge access. 6 reward points per Rs.150. Low 1.8% forex markup. 24x7 concierge. Premium lifestyle privileges.
IndusInd Bank Celesta Credit Card,IndusInd,10000,10000,2.0,2000,2.0,20.0,0.5,1200000,10000,Marriott ITC Vistara Emirates,Unlimited lounge access. Complimentary golf. 2 reward points per Rs.100. Strong international travel benefits.
